Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Akash Pari,1958,128,Fantasy,5.8,1938,Mohan Sinha,Kusum Pradhan,Ram Singh,Maruti
Akashdeep,1965,136,Drama,6.6,32,Phani Majumdar,Dharmendra,Mehmood,Ashok Kumar
Akashwani,1934,149,Unknown,5.8,1938,Bhalji Pendharkar,Leela,Nanasaheb Phatak,Master Vinayak
Akath Kahani,2013,120,Drama,5.8,1938,Rohaan Satghare,Pragati Gaikwad,Yugraj Jain,Meghana Nikade
Akayla,1991,180,"Action, Drama, Thriller",5,421,Ramesh Sippy,Amitabh Bachchan,Jackie Shroff,Amrita Singh
Akbar Saleem Anarkali,1979,139,"Drama, History, Musical",7.7,38,N.T. Rama Rao,N.T. Rama Rao,Nandamuri Balakrishna,Unni Mary
Akela,1941,128,Unknown,5.8,1938,Pesi Karani,Hadi,unknown,unknown
Akela,1963,128,Unknown,5.8,1938,Jay Bee,Dhumal,Honey Irani,Sulochana Latkar
Akela,1987,128,Drama,5.8,1938,Arun Pawar,Tanay Chheda,Aditi Arya,unknown
Akela,1975,128,Drama,5.8,1938,Khalid Sami,Sunil Dutt,Madhushala,Madhushala
Akela the Alone,2014,58,Thriller,5.5,10,Abrar,Adil Ahamad,Roman Ajaz,Casim Bilal
Akele Hum Akele Tum,1995,160,Drama,7,"4,780",Mansoor Khan,Aamir Khan,Manisha Koirala,Master Adil
Akeli,1999,165,Romance,5.6,11,Vinod Pande,Perena Agarwal,Nandini Ghosal,Brij Gopal
Akeli Ladki,1999,128,Drama,5.8,1938,I.V. Sasi,Pratap Chandra,Surat Gupta,Jayaram
Akeli Mat Jaiyo,1963,128,"Comedy, Romance",6.3,21,Nandlal Jaswantlal,Meena Kumari,Rajendra Kumar,Agha
Akhand Pratigya,1994,128,Action,5.8,1938,Kodanda Rami Reddy A.,Chiranjeevi,unknown,unknown
Akhand Saubhagyavati,1981,128,Drama,5.8,1938,Rakesh Nahata,Rita Bhaduri,Kamini Bhatia,Nalin Dave
Akhiyon Se Goli Maare,2002,146,"Comedy, Romance",5.1,881,Harmesh Malhotra,Govinda,Raveena Tandon,Kader Khan
Akhri Muqabla,1989,132,"Action, Drama",5.3,13,Sudesh Issar,Shashi Kapoor,Rajan Sippy,Suresh Oberoi
Akkad Bakkad Bam Be Bo,1987,128,Action,5.8,1938,Dweep Raj Kochhar,Ramesh Pandey,Muntazir Ahmad,Nimay Bali
Akkal Na Bardan,1936,128,Unknown,5.8,1938,Homi Master,unknown,unknown,unknown
"Akki, Vikki te Nikki",1987,128,Comedy,5.8,1938,Vipin Sharma,Prabhleen Sandhu,Zeishan Quadri,Nandini Sen
Aks,2001,184,"Action, Crime, Horror",5.8,"1,627",Rakeysh Omprakash Mehra,Amitabh Bachchan,Raveena Tandon,Manoj Bajpayee
Aksar,2006,135,"Drama, Romance, Thriller",4.8,"1,152",Ananth Narayan Mahadevan,Emraan Hashmi,Udita Goswami,Dino Morea
Aksar 2,2017,127,"Crime, Drama, Mystery",3.6,417,Ananth Narayan Mahadevan,Zareen Khan,Gautam Rode,Lillete Dubey
Al Hilal,1958,128,"Action, Adventure, Fantasy",5.8,1938,Mahipal,Shakila,Master Romi,Hiralal
Ala Vaikunthapurramuloo Hindi Remake,1987,128,"Action, Drama",5.8,1938,Rohit Dhawan,Kartik Aaryan,unknown,unknown
Alaap,1977,160,"Drama, Musical",6.7,327,Hrishikesh Mukherjee,Amitabh Bachchan,Rekha,Chhayadevi
Aladdin and the Wonderful Lamp,1952,144,"Adventure, Fantasy",5.9,15,Homi Wadia,Mahipal,Meena Kumari,S.N. Tripathi
Aladdin Aur Jadui Chirag,1933,128,"Adventure, Fantasy",5.8,1938,Jal Ariah,Abdul Rehman Kabuli,Rose,Narmada Shankar
Aladdin Aur Jadui Chirag,1937,128,Unknown,5.8,1938,Navinchandra,unknown,unknown,unknown
Aladin,2009,132,"Action, Adventure, Comedy",4.6,"2,839",Sujoy Ghosh,Amitabh Bachchan,Sanjay Dutt,Riteish Deshmukh
Alag Alag,1985,174,"Family, Musical, Romance",6.4,86,Shakti Samanta,Rajesh Khanna,Shashi Kapoor,Tina Ambani
Alag: He Is Different.... He Is Alone...,2006,123,"Action, Drama, Fantasy",3.8,"1,172",Ashu Trikha,Akshay Kapoor,Dia Mirza,Yatin Karyekar
Alajh Palajh,2019,136,Comedy,6.9,7,Uttar Kumar,Vikas Balian,Usha Devi,Monu Dhankad
Alakh,1989,128,Drama,5.8,"1,938",Unknown,unknown,unknown,unknown
Alakh Niranjan,1950,128,Fantasy,5.8,1938,Gunjal,Durga Khote,Nirupa Roy,D.K. Sapru
Alakh Niranjan,1975,128,Fantasy,7.4,22,Babubhai Mistry,N.T. Rama Rao,Vanisri,Ramakrishna
Alakh Niranjan,1940,128,Unknown,5.8,1938,Bhalji Pendharkar,Leela,unknown,unknown
Alam Ara,1973,124,Drama,6.8,8,Nanubhoy Vakil,Nazima,Ajit Sachdev,Paidi Jairaj
Alam Ara,1956,128,Drama,5.8,1938,Nanubhai Vakil,Chitra,Daljeet,unknown
Alavuddinum Athbutha Vilakkum,1979,144,"Adventure, Drama, Fantasy",6.6,161,I.V. Sasi,Kamal Haasan,Rajinikanth,Jayabharati
Albela,2001,145,"Comedy, Drama, Romance",3.7,737,Deepak Sareen,Govinda,Aishwarya Rai Bachchan,Jackie Shroff
Albela,1951,158,"Comedy, Drama, Musical",7,82,Master Bhagwan,Geeta Bali,Master Bhagwan,Badri Prasad
Albela,1971,128,Drama,6,6,A. Shamsheer,Mehmood,Aruna Irani,Rajendranath Malhotra
Albela,1989,128,"Action, Romance",5.8,1938,Ravi Tandon,Rati Agnihotri,Kumar Gaurav,Kader Khan
Albela,1986,128,Romance,5.8,1938,Ravi Tandon,Rati Agnihotri,Kumar Gaurav,Kader Khan
Albela Mastana,1967,128,Comedy,5.8,1938,B.J. Patel,Kishore Kumar,Asha Nadkarni,Master Bhagwan
Albeli,1955,128,"Comedy, Romance",5.8,1938,Devendra Goel,Pradeep Kumar,Geeta Bali,Om Prakash
Albeli,1974,128,Romance,5.8,1938,Karunesh Thakur,Vinod Mehra,Rehana Sultan,Mehmood
Albeli,1944,128,Unknown,5.8,1938,R.C. Talwar,Hiralal,Usha,unknown
Albert Einstein: a Survival Story of a Student,1987,97,Drama,5.8,1938,Sunil Mathur,Amruta Subhash,Manoj Pahwa,Parvin Dabas
Albert Pinto Ko Gussa Kyon Ata Hai,1980,110,"Comedy, Drama, Romance",7.5,428,Saeed Akhtar Mirza,Naseeruddin Shah,Shabana Azmi,Smita Patil
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,100,Drama,5.5,349,Soumitra Ranade,Manav Kaul,Nandita Das,Amarjeet Amle
Alert 24X7,1987,128,"Action, Thriller",5.8,1938,Soujan Josseph,Anupam Kher,Sanjay Dutt,Kabir Bedi
Alex's Strip,2019,109,Drama,5.9,37,Irene Zoe Alameda,Aitana Sánchez-Gijón,Aida Folch,Rohit Choudhary
Ali Baba,1945,128,Unknown,5.8,1938,Sadiq Ansari,Trilok Kapoor,unknown,unknown
Ali Baba,1976,128,"Action, Adventure, Fantasy",5.8,1938,Mohammed Hussain,Helen,Satish Kaul,Dev Kumar
Ali Baba and 40 Thieves,1966,154,"Adventure, Fantasy, Romance",6.4,14,Homi Wadia,Sanjeev Kumar,L. Vijayalakshmi,David Abraham
Ali Baba and the Forty Thieves,1932,128,Unknown,5.8,1938,Mukhtar Begum,Patience Cooper,Jehanara Kajjan,Keravala
Ali the Blind Boxer,2019,128,Drama,5.8,1938,Bijoy Banerjee,Kaushik Mondal,Shabir Sheikh,unknown
Alibaba,1976,128,Unknown,5.8,1938,Mohammed Hussain,Lalita Pawar,unknown,unknown
Alibaba,1940,128,Unknown,6,5,Mehboob Khan,Surendra,Ghulam Mohammed,Wahidan
Alibaba and 40 Thieves,1954,145,"Action, Adventure, Drama",6.2,46,Homi Wadia,Shakila,Mahipal,B.M. Vyas
Alibaba Aur 40 Chor,2004,128,"Action, Adventure, Drama",4.4,30,Sunil Agnihotri,Azghar,Brownie,Diveyaa Dwivedi
Alibaba Aur 41 Chor,2018,128,Animation,5.8,1938,Soumitra Ranade,unknown,unknown,unknown
Alibaba Aur Chalis Chor,1932,128,Unknown,3.4,5,J.J. Madan,unknown,unknown,unknown
Alibaba Marjinaa,1977,163,"Action, Adventure",6.7,27,Kedar Kapoor,Urmila Bhatt,Birbal,Jagdeep
Alibaug,1987,128,Drama,5.8,1938,Sanjay Gupta,Sophiya Chaudhary,Parvin Dabas,Sanjay Dutt
Alien Dost,2015,128,Animation,5.8,1938,Rajiv Chilaka,unknown,unknown,unknown
ALIF,2010,128,Drama,5.8,1938,Kamal K.M.,Yogesh Shirke,unknown,unknown
Alif,2017,120,Drama,6.5,137,Zaigham Imam,Neelima Azim,Pawan Tiwari,Bhavna Pani
Alif Laila,1933,128,Fantasy,7.2,37,Balwant Bhatt,Shanti Dave,Bashir Qawal,Zohra
Alif-Laila,1953,135,Fantasy,6.3,11,K. Amarnath,Nimmi,Asha Mathur,Pran
Aligarh,2015,114,"Biography, Drama",7.8,"6,402",Hansal Mehta,Manoj Bajpayee,Rajkummar Rao,Ashish Vidyarthi
Alingan,1974,128,Romance,5.8,1938,C.L. Dheer,Romesh Sharma,Zaheera,Suresh Chatwal
Alisha,2014,70,"Drama, Family, Romance",5.8,1938,Rajesh Hans,Anita Kulkarni,Amit Jairath,Laxmi Gadatre
Aliya Basu Gayab Hai,2020,128,Drama,5.8,1938,Preeti Singh,Salim Diwan,Vinay Pathak,Raima Sen
Al-kaanda,2015,100,"Comedy, Crime",5.8,1938,Kiertan Chauhan,Sunil Chabbra,Sandeep Jain,Tulsiram Kadam
All About Michelle,2019,128,Thriller,5.8,1938,Apoorva Marur,Anisha Alla,Chandana Chakrabarti,Drishika Chander
All About Sec-377,2016,126,"Comedy, Drama",5.8,1938,Amit Khanna,unknown,unknown,unknown
All in a Night,2021,128,Thriller,5.8,1938,Sanjay Raj,Richa Singh Chauhan,Lovekush,Suraj Gupta
All Is Well,2015,126,"Comedy, Drama, Romance",3.8,"1,513",Umesh Shukla,Rishi Kapoor,Abhishek Bachchan,Asin Thottumkal
All Ladies Do It,2020,97,Thriller,7.9,384,Akhil Gautam,Akhil Gautam,Ajay Bafna,Vikas Sachdeva
All Rounder,1984,128,"Action, Drama",4.8,31,Mohan Kumar,Kumar Gaurav,Rati Agnihotri,Vinod Mehra
All the Best: Fun Begins,2009,144,"Action, Comedy, Drama",6.2,"5,786",Rohit Shetty,Sanjay Dutt,Ajay Devgn,Fardeen Khan
All the Tired Horses,1987,128,"Comedy, Crime, Drama",5.8,1938,James With,James With,Daniel Tenni,Mara Pomana
All You Need ... Love,2011,128,Romance,5.8,1938,Atul Garg,Veena Malik,unknown,unknown
Allad,1995,128,Unknown,5.8,1938,Rambha,unknown,unknown,unknown
Alladin II,1936,128,"Adventure, Fantasy",5.8,1938,Nurjahan,unknown,unknown,unknown
Alladin Ka Beta,1955,128,Action,5.8,1938,Chitra,Kammo,Yashodra Katju,Mahipal
Alladin Ka Chiragh,1957,128,Fantasy,5.8,1938,T.R. Raghunath,Anjali Devi,Akkineni Nageshwara Rao,T.S. Balaiah
Alladin Leila,1957,128,Unknown,5.8,1938,Lekhraj Bhakri,Mahipal,Lalita Pawar,Shakila
Allah Ke Banday,2010,123,"Action, Crime, Drama",6.1,303,Faruk Kabir,Varun Bhagwat,Virendra Giri,Vikram Gokhale
Allah Meharban To Gadha Pehalwan,1997,149,Comedy,4.3,7,Ravindra Arora,Zahid Ali,Shakti Kapoor,Kader Khan
Allah-Rakha,1986,160,"Action, Drama",5.4,132,Ketan Desai,Jackie Shroff,Shammi Kapoor,Waheeda Rehman
Allaudin Ka Jadui Chirag,2002,128,Fantasy,5.8,1938,Ravi Chakkravarthy,Ashima Bhalla,Prabhudev,Raghuvaran
Alone,2015,133,Horror,3.7,"1,622",Bhushan Patel,Bipasha Basu,Karan Singh Grover,Sulabha Arya
Aloo Chaat,2009,128,"Comedy, Drama, Romance",5.8,907,Robbie Grewal,Aftab Shivdasani,Aamna Sharif,Linda Arsenio
Alpha Beta Gamma,2021,124,"Comedy, Drama",5.8,1938,Shankar Sri Kumar,Amit Kumar Vashisth,Reena Aggarwal,Nishan
Always Kabhi Kabhi,2011,126,"Comedy, Crime, Drama",4,"1,295",Roshan Abbas,Lillete Dubey,Satyajeet Dubey,Ali Fazal
Always Tell Your Wife,1936,128,Unknown,5.8,1938,Franz Osten,Devika Rani,unknown,unknown
Amaanat,1943,128,Unknown,5.8,1938,Lalit Chandra Mehta,Gulzar,unknown,unknown
Amaanat,1977,128,"Drama, Family",6.1,24,Shatrujit Paul,Manoj Kumar,Sadhana,Balraj Sahni
Amaanat,1994,140,"Action, Drama",4.7,552,Raj N. Sippy,Sanjay Dutt,Akshay Kumar,Heera Rajgopal
Amal,2017,87,"Crime, Drama, Fantasy",5.8,1938,Afnan Amrohi,Afnan Amrohi,unknown,unknown
Aman,1967,152,"Adventure, Drama, Romance",6.5,41,Mohan Kumar,Rajendra Kumar,Saira Banu,Balraj Sahni
Aman Ke Farishtey,2016,137,Action,6.6,23,Kader Kashmiri,Sonia Albizuri,Dev Anand,Bob Christo
Amanat,1955,128,"Drama, Family",7.1,15,Aravind Sen,Bharat Bhushan,Chand Usmani,Nasir Hussain
Amangal,2021,128,Drama,5.8,1938,Avinash Dhyani,Avinash Dhyani,Suruchi Saklani,Sanskriti Bhatt
Amanush,1975,153,"Drama, Family",7,232,Shakti Samanta,Uttam Kumar,Sharmila Tagore,Prema Narayan
Amar,1954,149,"Drama, Musical, Romance",6.8,162,Mehboob Khan,Madhubala,Nimmi,Dilip Kumar
Amar Deep,1958,148,"Musical, Romance",6.6,38,T. Prakash Rao,Dev Anand,Vyjayanthimala,Padmini
Amar Deep,1979,128,"Drama, Romance",6.9,66,R. Krishnamurthy,K. Vijayan,Rajesh Khanna,Vinod Mehra
Amar Joshi Shahid Ho Gaya,2005,128,Comedy,5.6,17,Rajnish Thakur,Sunil Shetty,Rajpal Yadav,Shawar Ali
Amar Jyoti,1936,166,Drama,6.1,17,Shantaram Rajaram Vankudre,Durga Khote,Shanta Apte,Vasanti
Amar Jyoti,1984,128,Romance,5.8,1938,Mahipal,Alok Nath,Karan Razdan,Anila Singh
Amar Jyoti,1967,128,Drama,5.8,1938,Jeevan,Mahipal,Kamal Mehra,D.K. Sapru
Amar Kahani,1949,128,Romance,5.8,1938,Brij Sharma,Jagdish Mehta,Paidi Jairaj,Ranjana
Amar Kahani Ravidas Ji Ki,2020,98,History,5.8,1938,Arvind Singh Sirohi,Bhawana Arora,Samayera Khan,Sandeep Mohan
Amar Kirtan,1954,128,Unknown,5.8,1938,Chand Burke,Jayant,Shahu Modak,Madan Puri
Amar Prem,1936,128,Unknown,5.8,1938,Natwar Shyam,Ansuya,unknown,unknown
Amar Prem,1948,128,Drama,8,39,N.M. Kelkar,Madhav Kale,Raj Kapoor,Madhubala
Amar Prem,1960,128,Unknown,7.2,6,Ramanna,Shivaji Ganesan,Krishna Rao,Savitri
Amar Prem,1972,143,"Drama, Musical, Romance",8.2,"1,592",Shakti Samanta,Rajesh Khanna,Sharmila Tagore,Sujit Kumar
Amar Prem,2020,143,Drama,4.4,25,Tanveer Hashmi,Chandrima Banerjee,Kundan Bhardwaj,Sufi
Amar Pyar,1958,128,Fantasy,5.8,1938,Hiralal,Mahipal,Shakila,unknown
Amar Rahe Ye Pyar,1961,121,Drama,6.5,14,Prabhu,Rajendra Kumar,Nalini Jaywant,Nanda
Amar Raj,1946,128,"Drama, Musical",5.8,1938,Homi Wadia,Naseem Jr.,Trilok Kapoor,H. Prakash
Amar Saheed Bhagat Singh,1974,131,Action,5.8,1938,Omi Bedi,Rajni Bala,Som Dutt,Achala Sachdev
Amar Saigal,1955,128,Unknown,5.8,1938,Nitin Bose,Akhtar Jahan,G. Mungeri,Padmadevi
Amar Samadhi,1958,128,Action,5.8,1938,Shahu Modak,Shyama,unknown,unknown
Amar Shaheed,1959,128,Unknown,5.8,1938,B. Ramakrishnaiah Panthulu,Shivaji Ganesan,Padmini,Gemini Ganesan
Amar Shaheed,1936,128,Unknown,5.8,1938,B. Pawar,unknown,unknown,unknown
Amar Shakti,1978,133,"Action, Adventure, Comedy",4.9,16,Harmesh Malhotra,Shashi Kapoor,Shatrughan Sinha,Sulakshana Pandit
Amar Shilpi,1977,128,Drama,5.8,1938,Saroja Devi B.,Jayalalitha J,unknown,unknown
Amar Suhagin,1978,128,Unknown,5.8,1938,Babubhai Mistry,unknown,unknown,unknown
Amar Yauvan,1982,128,Drama,5.8,1938,Unknown,unknown,unknown,unknown
"Amar, Akbar and Anthony",1977,184,"Action, Comedy, Drama",7.5,"7,336",Manmohan Desai,Vinod Khanna,Rishi Kapoor,Amitabh Bachchan
Amarsinh Rathod,1956,128,Unknown,5.8,1938,Jaswant Jhaveri,Nirupa Roy,Ram Singh,Ramesh Sinha
Amavas,1987,128,Horror,5.8,1938,Sidharth Srinivasan,unknown,unknown,unknown
Amavas,2019,134,"Horror, Thriller",2.8,308,Bhushan Patel,Ali Asgar,Ali Asgar,Vivan Bhatena
Amavas Ka Chand,1979,128,Thriller,5.8,1938,Unknown,unknown,unknown,unknown
Amavas Ki Raat,1990,128,Horror,3.1,18,Mohan Bhakri,Ratan Aulakh,Rakesh Bedi,Sunil Dhawan
Amba,1990,153,Family,4.2,41,Mohan Kumar,Shabana Azmi,Anil Kapoor,Meenakshi Sheshadri
Amba Ambika Ambalika,1976,128,Unknown,5.8,1938,P. Subramaniam,Anandavally,Rani Chandra,Hari
Ambarish,1934,128,Unknown,5.8,1938,Gunjal,M. Bhagwandas,Kamlabai Gokhale,Gulab
Ambassador of Socialism,2016,128,Biography,5.8,1938,Charu Sharma,unknown,unknown,unknown
Ambe Maa Jagdambe Maa,1980,128,"Comedy, Drama, Family",5.3,6,Sukhdev Ahluwalia,Lata Arora,Yogesh Chhabra,Surjeet Kaur
Amber,1952,141,"Action, Adventure, Drama",6.9,65,Jayant Desai,Nargis,Raj Kapoor,Agha
Amber,1985,128,Romance,5.8,11,Prasenjit Chatterjee,Pradeep Kumar,Anuradha Patel,Rameshwari
Amdavad Junction,2013,95,Mystery,4.4,16,Apurv Bajpai,Rohan Jardosh,Ishita Salot,Gunjan Vyas
Ameena,1934,128,Unknown,5.8,1938,Aghajani,Mahajbin,unknown,unknown
Ameer,1954,128,Unknown,5.8,1938,Chandu,Geeta Bali,Kamal Kapoor,Manju
Ameer Aadmi Gharib Aadmi,1985,128,Drama,5.4,19,Amjad Khan,Amitabh Bachchan,Zeenat Aman,Rabia Amin
Ameeree,1945,128,Unknown,5.8,1938,P.C. Barua,unknown,unknown,unknown
American Desi,2001,100,"Comedy, Drama, Romance",6.6,"1,585",Piyush Dinker Pandya,Deep Katdare,Ronobir Lahiri,Purva Bedi
Amir Garib,1974,140,"Action, Thriller",6.6,90,Mohan Kumar,Dev Anand,Hema Malini,Prem Nath
Amir Salman Shahrukh,2016,128,Comedy,5.5,12,Dewashish Ghosh,Sagar Pandey,Raju Rahikwar,unknown
Amiri Garibi,1990,155,Family,4.9,47,Harmesh Malhotra,Jeetendra,Rekha,Rishi Kapoor
Amirzadi,1934,128,Unknown,5.8,1938,Abdul Rehman Kabuli,Rajkumari,Sultana,unknown
Amit Sahni Ki List,2014,110,"Comedy, Romance",5.4,347,Ajay Bhuyan,Vir Das,Vega Tamotia,Anindita Nayar
Amma,2002,128,"Drama, Crime",6.2,6,Yashpal Sharma,Shambhavi Agrawal,Brahmanandam,Ayesha Jhulka
Amma,1986,135,Drama,6.2,11,Jiten,Rakhee Gulzar,Mithun Chakraborty,Suresh Oberoi
Amma Nagamma,2001,110,"Drama, Fantasy, Thriller",5.6,7,C.H. Balaji Singh Babu,Dhamini,Kumar Govind,Prema
Ammaa Ki Boli,2021,117,"Comedy, Drama",8.1,871,Narayan Chauhan,Sanjay Mishra,Hrishitaa Bhatt,Master Aniket
Ammayi Kosam,2001,128,Drama,5.6,45,Muppalaneni Siva,Meena,Vineeth,Siva Reddy
Ammu Ki Bakari,1980,128,Drama,5.8,1938,Ramu Kariat,unknown,unknown,unknown
Amnol Sahara,1952,128,Drama,5.8,1938,Raaj Kumar,unknown,unknown,unknown
Amphigori,2013,128,"Action, Comedy, Crime",5.8,1938,Shitiz Srivastava,Shitiz Srivastava,Avinash Dhyani,Dipankar Bahalia
Amrapali,1945,128,Unknown,5.8,1938,Nandlal Jaswantlal,Prem Adib,Arun,Sabita Devi
Amrapali,1966,119,"Musical, Fantasy",6.6,194,Lekh Tandon,Vyjayanthimala,Sunil Dutt,Prem Nath
Amriki Pandit,2021,128,Drama,5.8,1938,Kalpesh Garg,Madhavan,Manju Warrier,Deepti Sati
Amrit,1986,137,"Drama, Family",7,169,Mohan Kumar,Rajesh Khanna,Smita Patil,Aruna Irani
Amrit,1941,153,Unknown,5.8,1938,Master Vinayak,Dada Salvi,Baburao Pendharkar,Lalita Pawar
Amrit,1941,162,Unknown,5.8,1938,Master Vinayak,Dada Salvi,Baburao Pendharkar,Lalita Pawar
Amrit Manthan,1961,128,Unknown,5.8,1938,S.N. Tripathi,Sulochana Chatterjee,Dalpat,Manher Desai
Amrita,1999,128,Thriller,5.8,1938,Kakoli Biswas,Arun Bali,Saptrishi Ghosh,Jaya Seal
Amruta,1999,128,Romance,5.8,1938,Usman Baig,Chandrashekhar,Sudhir Dalvi,Gulshan Grover
Amshini,1987,128,Drama,5.8,1938,Krishnan Kartha,Marcus Bartley,Seema Biswas,Venu Gopal
Amu,2005,102,Drama,7.3,856,Shonali Bose,Konkona Sen Sharma,Yashpal Sharma,Brinda Karat
Amulyam (Priceless),1978,128,Drama,5.8,1938,Akkineni Kutumba Rao,unknown,unknown,unknown
An acid attack case,2020,128,Mystery,5.8,1938,Kritn Ajitesh,unknown,unknown,unknown
An Encounter,2012,128,Thriller,5.8,1938,Aadish Keluskar,Uday Chandra,Karishma Gupte,unknown
An Engineered Dream,2018,72,Documentary,8.4,11,Hemant Gaba,unknown,unknown,unknown
An Evening in Paris,1967,168,"Musical, Romance, Thriller",6.9,328,Shakti Samanta,Shammi Kapoor,Sharmila Tagore,Sarita
An Excursion: From the Archives of Kaagaz Ki Kashti,2018,176,Documentary,5.8,1938,Brahmanand S. Singh,Ghulam Ali,Talat Aziz,Mahesh Bhatt
An Indian Day,1968,57,Documentary,7.1,25,S. Sukhdev,unknown,unknown,unknown
An Insignificant Man,2016,96,"Documentary, Thriller",8.7,"1,928",Khushboo Ranka,Vinay Shukla,Arvind Kejriwal,Saurabh Bhardwaj
An Ordinary Election,2015,125,Documentary,5.8,1938,Lalit Vachani,unknown,unknown,unknown
An Ungodly Tie,2019,135,Horror,5.8,1938,Himanshu Binekar,Mohanti Kesarwani,Trisha Nandwani,Himansh Sajwan
An Unspoken Love Story,2015,128,Romance,5.8,1938,Yogesh,Jaiyanth Vasanth Sinha,unknown,unknown
Anaadi Anant,1986,128,Unknown,5.8,1938,Prakash Jha,Surekha Sikri,Vasant Jasaljar,Suman Kumar
Anaam,1992,128,"Action, Drama, Mystery",6.1,29,Ramesh Modi,Arman Kohli,Ayesha Jhulka,Kiran Kumar
Anaam,1987,128,Drama,5.8,1938,Ganesh Shetty,Karuna Dogra,Neil Bhoopalam,Raghuvir Yadav
Anaamika,2021,128,Horror,5.8,1938,Vineet Rane,Ejaz Ahmed,Priya Sharma,Shagun Sharma
Anaar,1986,128,Drama,5.8,1938,Madhuri Mishra,Pallavi,Sachin Pilgaonkar,Om Shivpuri
Anaarkali of Aarah,2017,113,Drama,5.9,"1,636",Avinash Das,Pankaj Tripathi,Swara Bhaskar,Sanjay Mishra
Anaath,1949,128,Drama,5.8,1938,Khwaja Mohammad Abbas,unknown,unknown,unknown
Anadi Khiladi,1986,128,Action,5.8,1938,Naqi Ahmed,Jalal Agha,Puneet Issar,Huma Khan
Anamika,1973,125,"Mystery, Romance, Musical",7.1,278,Raghunath Jhalani,Sanjeev Kumar,Jaya Bachchan,Iftekhar
Anamika: The Untold Story,2008,128,"Drama, Romance, Thriller",3.4,251,Ananth Narayan Mahadevan,Dino Morea,Minissha Lamba,Koena Mitra
Anand,1971,122,"Drama, Musical",8.3,"31,937",Hrishikesh Mukherjee,Rajesh Khanna,Amitabh Bachchan,Sumita Sanyal
Anand,1941,128,Drama,5.8,1938,Samarth Kumar,unknown,unknown,unknown
Anand Aur Anand,1984,128,"Family, Drama, Romance",6.1,38,Dev Anand,Dev Anand,Suneil Anand,Raj Babbar
Anand Bhawan,1953,128,Unknown,5.8,1938,S.M. Yusuf,Trilok Kapoor,Nigar Sultana,unknown
Anand Mahal,1977,128,Drama,5.8,1938,Basu Bhattacharya,Vijay Arora,Manik Dutt,Sarika
Anand Math,1952,176,"Biography, Drama, History",7.6,85,Hemen Gupta,Prithviraj Kapoor,Geeta Bali,Ranjana
Ananda Ashram,1977,127,"Drama, Family",7.1,140,Shakti Samanta,Ashok Kumar,Uttam Kumar,Sharmila Tagore
Anangsena,1931,128,Unknown,5.8,1938,Moti B. Gidwani,Elizer,Hadi,Jillo
Anantyatra,1985,128,Drama,7,19,Jayoo Patwardhan,Nachiket Patwardhan,Sudhir Joshi,Rohini Hattangadi
Anar,1991,128,Musical,5.8,1938,K.K. Shahi,Sachin Pilgaonkar,Ashok Saraf,Rina Sharma
Anarbala,1940,128,Horror,5.8,1938,A.M. Khan,Benjamin,Shanta Kashmiri,Akhtari
Anarbala,1961,128,Drama,5.8,1938,Raja Yagnik,Daljeet,Krishna Kumari,Nilofer
Anari,1959,166,"Comedy, Drama, Musical",7.9,740,Hrishikesh Mukherjee,Raj Kapoor,Nutan,Lalita Pawar
Anari,1993,171,"Comedy, Drama, Romance",4.8,429,K. Muralimohana Rao,Rakhee Gulzar,Venkatesh Daggubati,Karisma Kapoor
Anari,1975,144,"Drama, Romance",6.2,36,Asit Sen,Shashi Kapoor,Sharmila Tagore,Moushumi Chatterjee
Anari No. 1,1999,169,Comedy,5,636,Kuku Kohli,Govinda,Raveena Tandon,Simran
Anarkali,1935,128,Unknown,5.8,1938,R.S. Choudhury,Dinshaw Bilimoria,Jillo,Ruby Mayer
Anarkali,1953,175,"History, Musical, Romance",7.2,72,Nandlal Jaswantlal,Bina Rai,Pradeep Kumar,Kuldip Kaur
Anath Ashram,1937,136,Drama,5.8,1938,Hemchandra Chunder,Umasashi,Najmul Hussain,Jagdish Sethi
Anatomy of Violence,2016,93,"Crime, Drama",5.4,54,Deepa Mehta,Vansh Bhardwaj,Tia Bhatia,Janki Bisht
Anban,1944,128,Unknown,5.8,1938,Niren Lahiri,unknown,unknown,unknown
Anchhuye,2002,128,Drama,5.8,1938,H.B. Singh,Rajeev Raj,Anissa Poddar,Sahiba
And Unto the Void,1967,128,Drama,5.8,1938,Feroz Chinoy,Shatrughan Sinha,unknown,unknown
Andaaz,2003,145,"Drama, Musical, Romance",5.3,"2,359",Raj Kanwar,Akshay Kumar,Lara Dutta,Priyanka Chopra Jonas
Andar Baahar,1984,128,"Action, Thriller",5.4,146,Raj N. Sippy,Anil Kapoor,Jackie Shroff,Danny Denzongpa
Andaz,1949,148,"Musical, Drama, Crime",7.2,498,Mehboob Khan,Nargis,Dilip Kumar,V.H. Desai
Andaz,1971,166,"Drama, Romance",6.7,275,Ramesh Sippy,Shammi Kapoor,Rajesh Khanna,Hema Malini
Andaz,1994,167,"Action, Comedy, Drama",4.4,402,David Dhawan,Anil Kapoor,Juhi Chawla,Karisma Kapoor
